,,,,Minute Level SiteSage Data,, 2014-07-29 22:57:00,Customer: ,Giulia Marinello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column name is Energy Monitor Channel Number-Circuit Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Columns contain average power usage(production) in watts for minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage is average voltage for minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,3,,5,6,7,8,9,10,11,12,13,,A-1,A-2,A-3,A-4,A-5,,A-7,A-8,A-9,A-10,B-1,B-2,,,,,,,,,,,,,,,,,,,14881,
Date/Time,,Main Power,,Oven,,Furnace fan,Office outlet,Basement outlets and lights,Office outlet{1},Dining Room outlets,Basement closet light,Basement lights,Living Room outlet,Air Conditioner,,washing machine,Basement lights{1},First Floor lights and outlets,Kitchen outlet,clothes dryer,,Second Floor lights and outlets,S bedroom outlet,First floor outlets and lights,East bedroom outlets,Second Floor outlets,Refrigerator,,,,,,,,,,,,,,,,,,,Voltage,Outdoor Temp
2014-07-02 00:32:00,0,3457,0,0,0,643,0,0,0,0,0,0,0,2608,0,0,0,0,0,0,0,63,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.6,0
2014-07-02 00:33:00,0,3451,0,0,0,644,0,0,0,0,0,0,0,2602,0,0,0,0,0,0,0,63,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.7,0
2014-07-02 00:34:00,0,3378,0,0,0,644,0,0,0,0,0,0,0,2482,0,0,0,0,0,0,0,63,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.7,0
2014-07-02 00:35:00,0,816,0,0,0,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.6,73
2014-07-02 00:36:00,0,217,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.4,0
2014-07-02 00:37:00,0,216,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.4,0
2014-07-02 00:38:00,0,216,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5,0
2014-07-02 00:39:00,0,215,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.4,0
2014-07-02 00:40:00,0,213,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.9,0
2014-07-02 00:41:00,0,211,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.1,0
2014-07-02 00:42:00,0,211,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.1,0
2014-07-02 00:43:00,0,1092,0,0,0,144,0,0,0,0,0,0,0,783,0,0,0,0,0,0,0,62,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.7,0
2014-07-02 00:44:00,0,3427,0,0,0,640,0,0,0,0,0,0,0,2590,0,0,0,0,0,0,0,62,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.7,0
2014-07-02 00:45:00,0,3416,0,0,0,640,0,0,0,0,0,0,0,2582,0,0,0,0,0,0,0,62,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.6,0
2014-07-02 00:46:00,0,3399,0,0,0,640,0,0,0,0,0,0,0,2588,0,0,0,0,0,0,0,62,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.6,0
2014-07-02 00:47:00,0,3314,0,0,0,639,0,0,0,0,0,0,0,2584,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5,0
2014-07-02 00:48:00,0,3313,0,0,0,638,0,0,0,0,0,0,0,2584,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5,0
2014-07-02 00:49:00,0,3306,0,0,0,639,0,0,0,0,0,0,0,2576,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.6,0
2014-07-02 00:50:00,0,3304,0,0,0,638,0,0,0,0,0,0,0,2576,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.6,0
