,,,,Minute Level SiteSage Data,, 2014-07-29 22:16:00,Customer: ,Giulia Marinello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column name is Energy Monitor Channel Number-Circuit Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Columns contain average power usage(production) in watts for minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage is average voltage for minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,3,,5,6,7,8,9,10,11,12,13,,A-1,A-2,A-3,A-4,A-5,,A-7,A-8,A-9,A-10,B-1,B-2,,,,,,,,,,,,,,,,,,,14881,
Date/Time,,Main Power,,Oven,,Furnace fan,Office outlet,Basement outlets and lights,Office outlet{1},Dining Room outlets,Basement closet light,Basement lights,Living Room outlet,Air Conditioner,,washing machine,Basement lights{1},First Floor lights and outlets,Kitchen outlet,clothes dryer,,Second Floor lights and outlets,S bedroom outlet,First floor outlets and lights,East bedroom outlets,Second Floor outlets,Refrigerator,,,,,,,,,,,,,,,,,,,Voltage,Outdoor Temp
2014-02-17 00:39:00,0,642,0,0,0,579,0,49,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.3,0
2014-02-17 00:40:00,0,632,0,0,0,578,0,39,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.1,0
2014-02-17 00:41:00,0,631,0,0,0,578,0,39,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0
2014-02-17 00:42:00,0,632,0,0,0,579,0,39,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0
2014-02-17 00:43:00,0,633,0,0,0,579,0,39,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.3,0
2014-02-17 00:44:00,0,632,0,0,0,579,0,39,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.1,0
2014-02-17 00:45:00,0,632,0,0,0,578,0,39,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0
2014-02-17 00:46:00,0,632,0,0,0,578,0,39,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.1,0
2014-02-17 00:47:00,0,632,0,0,0,579,0,39,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.3,0
2014-02-17 00:48:00,0,631,0,0,0,578,0,39,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.1,0
2014-02-17 00:49:00,0,631,0,0,0,578,0,39,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0
2014-02-17 00:50:00,0,632,0,0,0,579,0,39,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.2,0
2014-02-17 00:51:00,0,633,0,0,0,580,0,39,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.2,0
2014-02-17 00:52:00,0,832,0,0,0,781,0,39,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.1,0
2014-02-17 00:53:00,0,844,0,0,0,792,0,40,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.1,0
2014-02-17 00:54:00,0,833,0,0,0,779,0,41,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.2,0
2014-02-17 00:55:00,0,633,0,0,0,579,0,40,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.4,0
2014-02-17 00:56:00,0,629,0,0,0,576,0,39,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.4,0
2014-02-17 00:57:00,0,631,0,0,0,577,0,39,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.4,0
